issue_id,issue_number,volume,no_volume,display_volume_with_number,series_id,indicia_pub_not_printed,no_brand,publication_date,key_date,sort_code,price,page_count,page_count_uncertain,indicia_frequency,no_indicia_frequency,editing,no_editing,notes,created,modified,reserved,deleted,is_indexed,isbn,valid_isbn,no_isbn,variant_of_id,variant_name,barcode,no_barcode,title,no_title,on_sale_date,on_sale_date_uncertain,rating,no_rating
0,19533,29,,0,0,1570,0,0,Oct-65,10/10/65,42907,0.12 USD,36,0,,0,Stan Lee,0,,2/6/01 0:00,2/11/15 0:08,0,0,1,,,1,NULL,,,1,,0,,0,
19848,17,1,0,0,1576,0,0,Feb-66,2/10/66,43842,0.12 USD,36,0,,0,Stan Lee,0,,4/15/01 0:00,10/10/14 12:34,0,0,1,,,1,NULL,,,1,,0,,0,,0
1,0,18754,10,1,0,0,1571,0,0,Nov-64,1964-11-00,43322,0.12 USD,36,0,"monthly with the exception of December, February, April and June",0,Stan Lee,0,,2/6/01 0:00,5/20/15 3:03,0,0,1,,,1,NULL,,,1,,0,,0
1,0,22167,105,1,0,0,1860,0,0,Sep-68,1968-09-00,49629,0.12 USD,36,0,Monthly,0,Stan Lee,0,,2/6/01 0:00,1/10/14 6:25,0,0,1,,,1,NULL,,,1,,0,,0
1,0,22242,106,1,0,0,1860,0,0,Oct-68,1968-10-00,49630,0.12 USD,36,0,Monthly,0,Stan Lee,0,,2/6/01 0:00,8/2/12 17:53,0,0,1,,,1,NULL,,,1,,0,,0
1,0,22395,108,1,0,0,1860,0,0,Dec-68,1968-12-00,49632,0.12 USD,36,0,Monthly,0,Stan Lee,0,,2/6/01 0:00,11/7/12 20:58,0,0,1,,,1,NULL,,,1,,0,,0
1,0,22463,109,1,0,0,1860,0,0,Jan-69,1969-01-00,49633,0.12 USD,36,0,Monthly,0,Stan Lee,0,There is a 1994 reprint that is exactly the same except for new advertisements.,2/6/01 0:00,12/23/13 18:12,0,0,1,,,1,NULL,,,1,,0,,0
1,0,19376,19,1,0,0,1571,0,0,Aug-65,8/10/65,43331,0.12 USD,36,0,monthly,0,Stan Lee,0,,2/6/01 0:00,10/10/14 12:32,0,0,1,,,1,NULL,,,1,,0,,0
20364,24,1,0,0,1576,0,0,Sep-66,1966-09-00,43850,0.12 USD,36,0,monthly,0,Stan Lee,0,,4/15/01 0:00,5/17/15 16:56,0,0,1,,,1,NULL,,,1,,0,,0,Approved by the Comics Code Authority,0
19690,15,1,0,0,1576,0,0,Dec-65,12/10/65,43840,0.12 USD,36,0,,0,Stan Lee,0,,4/15/01 0:00,10/10/14 12:34,0,0,1,,,1,NULL,,,1,,0,,0,,0
1,0,21210,43,1,0,0,1571,0,0,Aug-67,1967-08-00,43356,0.12 USD,36,0,"monthly except September, semi-monthly",0,Stan Lee,0,,2/6/01 0:00,10/10/14 12:32,0,0,1,,,1,NULL,,,1,,0,,0
21293,36,1,0,0,1576,0,0,Sep-67,1967-09-00,43862,0.12 USD,36,0,monthly,0,Stan Lee,0,,4/15/01 0:00,10/10/14 12:34,0,0,1,,,1,NULL,,,1,,0,,0,,0
19780,16,1,0,0,1576,0,0,Jan-66,1/10/66,43841,0.12 USD,36,0,Monthly,0,Stan Lee,0,,4/15/01 0:00,5/15/15 12:33,0,0,1,,,1,NULL,,,1,,0,,0,Approved by the Comics Code Authority,0
0,18615,16,1,0,0,1570,0,0,Sep-64,1964-09-00,42892,0.12 USD,36,0,,0,Stan Lee,0,The on-sale date is the publication date reported in U. S. Copyright Office filings.,4/30/01 0:00,5/1/15 0:07,0,0,1,,,1,NULL,,,1,,0,6/9/64,0,
0,18691,17,1,0,0,1570,0,0,Oct-64,1964-10-00,42893,0.12 USD,36,0,monthly,0,Stan Lee,0,,2/6/01 0:00,11/10/14 19:17,0,0,1,,,1,NULL,,,1,,0,,0,
0,22532,112,1,0,0,1866,0,0,Feb-69,1969-02-00,50086,0.12 USD,36,0,"monthly except October, semi-monthly",0,Stan Lee,0,,2/6/01 0:00,11/6/12 10:42,0,0,1,,,1,NULL,,,1,,0,,0,
0,20049,50,1,0,0,1482,0,0,May-66,1966-05-00,40164,0.12 USD,36,0,monthly,0,Stan Lee,0,,2/6/01 0:00,8/12/15 20:16,0,0,1,,,1,NULL,,,1,,0,,0,
1,0,19771,24,1,0,0,1571,0,0,Jan-66,1/10/66,43336,0.12 USD,36,0,monthly,0,Stan Lee,0,,2/6/01 0:00,10/10/14 12:32,0,0,1,,,1,NULL,,,1,,0,,0
1,0,20430,33,1,0,0,1571,0,0,Oct-66,1966-10-00,43346,0.12 USD,36,0,monthly,0,Stan Lee,0,,2/6/01 0:00,10/10/14 12:32,0,0,1,,,1,NULL,,,1,,0,,0
0,19979,35,1,0,0,1570,0,0,Apr-66,4/10/66,42914,0.12 USD,36,0,,0,Stan Lee,0,,2/6/01 0:00,7/28/15 6:37,0,0,1,,,1,NULL,,,1,,0,,0,
19918,18,1,0,0,1576,0,0,Mar-66,1966-03-00,43843,0.12 USD,36,0,monthly,0,Stan Lee,0,,4/15/01 0:00,10/10/14 12:34,0,0,1,,,1,NULL,,,1,,0,,0,,0
19991,19,1,0,0,1576,0,0,Apr-66,1966-04-00,43844,0.12 USD,36,0,,0,Stan Lee,0,,4/15/01 0:00,10/10/14 12:34,0,0,1,,,1,NULL,,,1,,0,,0,,0
22104,47,1,0,0,1576,0,0,Aug-68,1968-08-00,43873,0.12 USD,36,0,monthly,0,Stan Lee,0,,4/15/01 0:00,10/10/14 12:34,0,0,1,,,1,NULL,,,1,,0,,0,,0
0,21593,70,1,0,0,1482,0,0,Jan-68,1968-01-00,40185,0.12 USD,36,0,monthly except November semi-monthly,0,Stan Lee,0,,2/6/01 0:00,8/12/15 20:16,0,0,1,,,1,NULL,,,1,,0,,0,
1,0,19980,27,1,0,0,1571,0,0,Apr-66,1966-04-00,43340,0.12 USD,36,0,monthly,0,Stan Lee,0,,2/6/01 0:00,7/27/15 12:21,0,0,1,,,1,NULL,,,1,,0,,0
1,0,20047,28,1,0,0,1571,0,0,May-66,5/10/66,43341,0.12 USD,36,0,monthly,0,Stan Lee,0,,2/6/01 0:00,1/26/15 21:32,0,0,1,,,1,NULL,,,1,,0,,0
1,0,20124,29,1,0,0,1571,0,0,Jun-66,6/10/66,43342,0.12 USD,36,0,monthly,0,Stan Lee,0,,2/6/01 0:00,10/10/14 12:32,0,0,1,,,1,NULL,,,1,,0,,0
0,20123,37,,0,0,1570,0,0,Jun-66,6/10/66,42916,0.12 USD,36,0,,0,Stan Lee,0,,2/6/01 0:00,7/28/15 6:37,0,0,1,,,1,NULL,,,1,,0,,0,
1,0,19534,21,1,0,0,1571,0,0,Oct-65,10/10/65,43333,0.12 USD,36,0,monthly,0,Stan Lee,0,,2/6/01 0:00,10/10/14 12:32,0,0,1,,,1,NULL,,,1,,0,,0
20273,23,1,0,0,1576,0,0,Aug-66,1966-08-00,43849,0.12 USD,36,0,monthly,0,Stan Lee,0,,4/15/01 0:00,10/10/14 12:34,0,0,1,,,1,NULL,,,1,,0,,0,,0
0,18760,59,1,0,0,1442,0,0,Nov-64,1964-11-00,38545,0.12 USD,36,0,Monthly,0,Stan Lee,0,,2/6/01 0:00,9/11/15 18:55,0,0,1,,,1,NULL,,,1,,0,,0,
0,18828,60,1,0,0,1442,0,0,Dec-64,1964-12-00,38546,0.12 USD,36,0,monthly,0,Stan Lee,0,,2/6/01 0:00,9/11/15 18:55,0,0,1,,,1,NULL,,,1,,0,,0,
0,18907,61,1,0,0,1442,0,0,Jan-65,1965-01-00,38547,0.12 USD,36,0,Monthly,0,Stan Lee,0,,2/6/01 0:00,9/11/15 18:55,0,0,1,,,1,NULL,,,1,,0,,0,Approved by the Comics Code Authority
0,19241,66,1,0,0,1442,0,0,Jun-65,1965-06-00,38552,0.12 USD,36,0,monthly,0,Stan Lee,0,,2/6/01 0:00,9/11/15 18:55,0,0,1,,,1,NULL,,,1,,0,,0,
0,19101,23,,0,0,1570,0,0,Apr-65,4/10/65,42900,0.12 USD,36,0,,0,Stan Lee,0,,2/6/01 0:00,1/11/15 22:13,0,0,1,,,1,NULL,,,1,,0,,0,
0,20132,78,1,0,0,1442,0,0,Jun-66,1966-06-00,38564,0.12 USD,36,0,monthly,0,Stan Lee,0,,2/6/01 0:00,9/11/15 18:55,0,0,1,,,1,NULL,,,1,,0,,0,
0,19040,63,1,0,0,1442,0,0,Mar-65,1965-03-00,38549,0.12 USD,36,0,Monthly,0,Stan Lee,0,,2/6/01 0:00,9/11/15 18:55,0,0,1,,,1,NULL,,,1,,0,,0,
1,0,19455,20,1,0,0,1571,0,0,Sep-65,9/10/65,43332,0.12 USD,36,0,monthly,0,Stan Lee,0,,2/6/01 0:00,7/27/15 12:23,0,0,1,,,1,NULL,,,1,,0,,0
0,19109,64,1,0,0,1442,0,0,Apr-65,1965-04-00,38550,0.12 USD,36,0,Monthly,0,Stan Lee,0,,2/6/01 0:00,9/11/15 18:55,0,0,1,,,1,NULL,,,1,,0,,0,
1,0,21515,47,,0,0,1571,0,0,Dec-67,1967-12-00,43360,0.12 USD,36,0,,0,Stan Lee,0,,2/6/01 0:00,10/10/14 12:32,0,0,1,,,1,NULL,,,1,,0,,1
0,19170,65,1,0,0,1442,0,0,May-65,1965-05-00,38551,0.12 USD,36,0,monthly,0,Stan Lee,0,,2/6/01 0:00,9/11/15 18:55,0,0,1,,,1,NULL,,,1,,0,,0,
0,18902,34,1,0,0,1482,0,0,Jan-65,1965-01-00,40148,0.12 USD,36,0,monthly,0,Stan Lee,0,,2/6/01 0:00,8/12/15 20:16,0,0,1,,,1,NULL,,,1,,0,,0,
