year,gender
1968,M
1968,M
1968,NULL 
1968,M
1968,M
1968,M
1968,F
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,F
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,NULL 
1968,NULL 
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,F
1968,NULL 
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,NULL 
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,M
1968,F
1968,M
1968,M
1968,F
1968,M
1968,M
1968,M
1968,F
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,F
1969,M
1969,M
1969,M
1969,M
1969,M
1969,F
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,F
1969,M
1969,F
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,NULL 
1969,NULL 
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,F
1969,F
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,F
1969,M
1969,M
1969,M
1969,M
1969,M
1969,F
1969,F
1969,F
1969,F
1969,M
1969,M
1969,F
1969,F
1969,M
1969,M
1969,M
1969,F
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,F
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,NULL 
1969,M
1969,F
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,F
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,F
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,F
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,F
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,M
1969,NULL 
1969,M
1969,M
1969,M
1969,M
1969,M
1969,F
1969,M
1969,M
1969,M
