name,sex,count
Abiezer,M,12
Abigael,F,1519
Abigaelle,F,86
Abigahil,F,42
Abigai,F,6
Abigail,F,321453
Abigaile,F,542
Abigailgrace,F,11
Abigaille,F,27
Abigailmarie,F,11
Abigailrose,F,6
Abigal,F,724
Abigale,F,5206
Abigayil,F,21
Abigayl,F,322
Abigayle,F,5630
Abigeal,F,22
Abigel,F,31
Abigial,F,154
Abiha,F,79
Abihail,F,29
Abijah,M,226
Abilene,F,813
Abilgail,F,28
Abilio,M,5
Abilyn,F,5
Abilynn,F,6
Abimael,M,987
Abimbola,F,79
Abimelec,M,43
Abin,M,10
Abinadab,M,5
Abinadi,M,22
Abinav,M,24
Abinaya,F,48
Abiodun,M,18
Abiola,F,140
Abiona,F,19
Abir,M,224
Abira,F,10
Abiram,M,12
Abirami,F,31
Abisag,F,16
Abisai,M,763
Abish,F,17
Abisha,F,36
Abishai,M,139
Abishek,M,50
Abisola,F,80
Abiud,M,6
Abiyah,F,5
Abla,F,11
Able,M,795
Abnel,M,6
Abner,M,7033
Abney,F,10
Abony,F,43
Abou,M,63
Aboubacar,M,264
Aboubakar,M,30
Abra,F,879
Abraam,M,42
Abraar,M,5
Abrah,F,22
Abraham,M,81263
Abrahan,M,908
Abraheem,M,17
Abrahem,M,41
Abrahim,M,508
Abrahm,M,599
Abram,M,13939
Abran,M,1925
Abranda,F,5
Abrar,F,330
Abraxas,M,6
Abrea,F,179
Abreana,F,39
Abreanna,F,256
Abree,F,455
Abreia,F,6
Abren,M,6
Abreona,F,6
Abreonna,F,15
Abrey,F,128
Abreya,F,5
Abrham,M,126
Abri,F,155
Abria,F,786
Abriah,F,30
Abrial,F,116
Abriam,M,5
Abrian,M,263
Abriana,F,2223
Abrianna,F,3664
Abriannah,F,6
Abrianne,F,15
Abrie,F,215
Abriel,F,573
Abriela,F,41
Abriele,F,5
Abriella,F,942
Abrielle,F,2909
Abrien,M,27
Abrienne,F,15
Abrigail,F,26
Abrihet,F,5
Abril,F,6667
Abrille,F,10
Abrina,F,149
Abrion,M,6
Abriona,F,20
Abrionna,F,54
Abriya,F,29
Abriyah,F,6
Abriyana,F,6
Abrom,M,6
Abron,M,254
Abrum,M,39
Abry,F,6
Abryana,F,161
Abryanna,F,221
Abryella,F,12
Abryelle,F,32
Abryl,F,14
Absalom,M,142
Absalon,M,33
Abshir,M,48
Absidy,F,17
Abtin,M,6
Abu,M,360
Abubacar,M,14
Abubacarr,M,15
Abubakar,M,438
Abubakarr,M,21
Abubakary,M,10
Abubaker,M,18
Abubakr,M,254
Abuk,F,35
Abukar,M,28
Abundio,M,203
Aby,F,180
Abyade,F,10
Abyan,M,87
Abygael,F,37
Abygail,F,2262
Abygaile,F,13
Abygale,F,307
Abygayle,F,137
Abyssinia,F,18
Ac,M,119
Acacia,F,3447
Acadia,F,676
Acamas,M,6
Acari,M,19
Acasia,F,120
Accacia,F,26
Accalia,F,69
Access,M,6
Accie,M,5
Accursio,M,5
Ace,M,6528
Acea,M,64
Acein,M,5
Acel,M,68
Acelin,M,93
Acelino,M,7
Acelyn,F,314
Acelynn,F,488
Acen,M,228
Acencion,M,27
Aceon,M,22
Acer,M,30
Aceson,M,97
Acesyn,M,11
Aceton,M,39
Acey,M,402
Aceyn,M,39
Achai,M,6
Achaia,F,62
Achan,F,5
Achante,F,35
Achanti,F,5
Achary,M,32
Achazia,F,6
Achel,F,39
Acheron,M,33
Achille,M,352
Achilles,M,1646
Achilleus,M,5
Achillies,M,60
Achintya,M,29
Achol,F,40
Achraf,M,10
Achsa,F,12
Achsah,F,69
Achyut,M,44
Achyuth,M,19
Acia,F,6
Aciano,M,5
Acie,M,2017
Aciel,M,7
Acil,M,12
Acire,F,65
Ackeem,M,32
Ackley,M,8
Acob,M,5
Acquanetta,F,254
Acquanette,F,13
Acsa,F,70
Acura,F,26
Acxel,M,196
Acy,M,274
Ad,M,73
Ada,F,91529
Adabel,F,26
Adabella,F,115
Adabelle,F,267
Adacia,F,5
Adae,M,5
Adael,M,154
Adaelyn,F,6
Adaeze,F,355
Adagio,M,9
Adah,F,3060
Adahir,M,50
Adahli,F,23
Adahlia,F,69
Adahy,M,6
Adai,F,17
Adaia,F,51
Adaiah,F,167
Adaija,F,34
Adaijah,F,76
Adain,M,291
Adair,M,1312
Adaira,F,128
Adaire,F,45
Adairis,F,5
Adaisha,F,119
Adaisia,F,7
Adaja,F,100
Adajah,F,72
Adaku,F,7
Adal,M,311
Adala,F,5
Adalade,F,5
Adalae,F,114
Adalai,F,66
Adalaide,F,167
Adalay,F,87
Adalaya,F,35
Adalayde,F,7
Adalbert,M,94
Adalberto,M,4354
Adale,F,5
Adalea,F,41
Adaleah,F,49
Adalee,F,1386
Adaleen,F,45
Adaleena,F,41
Adalei,F,93
Adaleigh,F,562
Adaleine,F,6
Adalen,F,25
Adalena,F,258
Adalene,F,453
Adaley,F,120
Adaleya,F,11
Adaleyza,F,8
Adalhi,F,5
Adali,F,342
Adalia,F,1355
Adaliah,F,82
Adalicia,F,15
Adalid,M,99
Adalida,F,41
Adalie,F,898
Adaliene,F,12
Adalin,F,209
Adalina,F,723
Adalind,F,86
Adalinda,F,10
Adaline,F,3700
Adalinn,F,18
Adalis,F,165
Adalisa,F,6
Adalise,F,31
Adalisse,F,5
Adalius,M,9
Adaliyah,F,5
Adaliz,F,240
Adalize,F,6
Adallyn,F,18
Adaly,F,384
Adalya,F,10
Adalye,F,10
Adalyn,F,10725
Adalyna,F,44
Adalynd,F,19
Adalyne,F,250
Adalynn,F,8643
Adalynne,F,403
Adalys,F,30
Adam,M,534149
Adama,F,423
Adamae,F,84
Adamari,F,1668
Adamarie,F,116
Adamaris,F,2737
Adamariz,F,196
Adamary,F,588
Adamarys,F,201
Adamina,F,20
Adamm,M,6
Adamma,F,5
Adammichael,M,6
Adamo,M,11
Adams,M,987
Adan,M,23876
Adana,F,197
Adaneli,F,11
Adanelly,F,28
Adanely,F,88
Adanna,F,432
Adannaya,F,5
Adante,M,165
Adanya,F,135
Adaobi,F,35
Adaora,F,158
Adar,M,51
Adara,F,1550
Adarah,F,26
Adari,M,5
Adaria,F,98
Adarian,M,188
Adarien,M,15
Adarion,M,38
Adarious,M,24
Adarius,M,1144
Adarrius,M,97
Adarryl,M,58
Adarryll,M,29
Adarsh,M,483
Adaryl,M,10
Adaryll,M,43
Adasha,F,89
Adashia,F,20
Adasia,F,229
Adason,F,5
Adassa,F,18
Adasyn,F,147
Adaugo,F,42
Adavia,F,5
Adavion,M,16
Adaya,F,578
Adayah,F,123
Adayla,F,29
Adaysha,F,61
Adayshia,F,19
Adaysia,F,22
Adbeel,M,5
Adbiel,M,15
Add,M,102
Adda,F,930
Addah,F,5
Addai,M,16
Addalee,F,109
Addaleigh,F,41
Addaley,F,28
Addalie,F,78
Addalin,F,8
Addalina,F,5
Addaline,F,56
Addalyn,F,1143
Addalyne,F,31
Addalynn,F,652
Addalynne,F,39
Addam,M,714
Addan,M,21
Addasyn,F,100
Addelin,F,22
Addelina,F,11
Addeline,F,208
Addell,F,16
Addelyn,F,1129
Addelyne,F,5
Addelynn,F,329
Addelynne,F,23
Adden,M,103
Adderly,M,11
Addeson,F,10
Addesyn,F,18
Addey,F,11
Addi,F,304
Addia,F,6
Addicus,M,5
Addicyn,F,33
Addie,F,43287
Addiel,M,51
Addielynn,F,11
Addiemae,F,5
Addieson,F,5
Addilee,F,111
Addileigh,F,22
Addiley,F,24
Addiline,F,5
Addilyn,F,2595
Addilyne,F,26
Addilynn,F,1171
Addilynne,F,52
Addine,F,22
Addington,F,5
Addis,M,361
Addisan,F,16
Addisen,F,1005
Addisin,F,25
Addison,F,97466
Addisson,F,91
Addiston,F,5
Addisun,F,11
Addisyn,F,6651
Addisynn,F,131
Addix,M,5
Addle,F,5
Addlee,F,5
Addley,F,86
Addlie,F,6
Addonis,M,5
Addriana,F,5
Addrianna,F,15
Addrienne,F,15
Addsion,F,5
Addy,F,1022
Addylan,F,5
Addylen,F,6
Addylin,F,30
Addylyn,F,20
Addylynn,F,30
Addysan,F,47
Addysen,F,918
Addysin,F,91
Addysn,F,6
Addyson,F,12698
Addysun,F,13
Addysyn,F,96
Ade,M,243
Adea,F,83
Adean,F,93
Adeana,F,187
Adeanna,F,5
Adebayo,M,104
Adebisi,F,10
Adebola,F,35
Adebowale,M,19
Adedamola,M,96
Adedayo,M,31
Adedeji,M,43
Adedotun,M,5
Adedoyin,F,12
Adee,F,6
Adeeb,M,203
Adeeba,F,11
